分类: 📡卫视频道, 名称: 青海卫视, 总数: 119, 有效率: 5.88%, 有效: 7, IPv4: 119, IPv6: 0, 最小延迟: 23 ms, 最高速率: 12.98 MiB/s, 平均速率: 4.60 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 山东卫视, 总数: 157, 有效率: 4.46%, 有效: 7, IPv4: 157, IPv6: 0, 最小延迟: 25 ms, 最高速率: 12.49 MiB/s, 平均速率: 3.74 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 山西卫视, 总数: 83, 有效率: 6.02%, 有效: 5, IPv4: 83, IPv6: 0, 最小延迟: 35 ms, 最高速率: 12.91 MiB/s, 平均速率: 4.93 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 陕西卫视, 总数: 86, 有效率: 6.98%, 有效: 6, IPv4: 86, IPv6: 0, 最小延迟: 33 ms, 最高速率: 14.50 MiB/s, 平均速率: 9.43 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 四川卫视, 总数: 149, 有效率: 6.04%, 有效: 9, IPv4: 149, IPv6: 0, 最小延迟: 33 ms, 最高速率: 20.95 MiB/s, 平均速率: 6.84 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 深圳卫视, 总数: 176, 有效率: 3.41%, 有效: 6, IPv4: 176, IPv6: 0, 最小延迟: 33 ms, 最高速率: 19.10 MiB/s, 平均速率: 9.40 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 三沙卫视, 总数: 76, 有效率: 5.26%, 有效: 4, IPv4: 76, IPv6: 0, 最小延迟: 25 ms, 最高速率: 31.44 MiB/s, 平均速率: 8.35 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 天津卫视, 总数: 173, 有效率: 2.89%, 有效: 5, IPv4: 173, IPv6: 0, 最小延迟: 34 ms, 最高速率: 17.62 MiB/s, 平均速率: 9.28 MiB/s, 最高分辨率: 3152x5998, 平均帧率: 25.08, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 西藏卫视, 总数: 81, 有效率: 4.94%, 有效: 4, IPv4: 81, IPv6: 0, 最小延迟: 32 ms, 最高速率: 15.03 MiB/s, 平均速率: 13.65 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 新疆卫视, 总数: 84, 有效率: 5.95%, 有效: 5, IPv4: 84, IPv6: 0, 最小延迟: 24 ms, 最高速率: 20.27 MiB/s, 平均速率: 11.11 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 云南卫视, 总数: 119, 有效率: 4.20%, 有效: 5, IPv4: 119, IPv6: 0, 最小延迟: 21 ms, 最高速率: 14.04 MiB/s, 平均速率: 7.37 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: mp2
分类: 🌊港台频道, 名称: 翡翠台, 总数: 13, 有效率: 7.69%, 有效: 1, IPv4: 13, IPv6: 0, 最小延迟: 67 ms, 最高速率: 1.64 MiB/s, 平均速率: 0.93 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.5, 视频编解码器: h264, 音频编解码器: aac
分类: 🌊港台频道, 名称: 明珠台, 总数: 4, 有效率: 0.00%, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌊港台频道, 名称: 香港卫视, 总数: 5, 有效率: 0.00%, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: 29 ms, 最高速率: 3.99 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 19x24, 平均帧率: 25.0, 视频编解码器: rawvideo, 音频编解码器: 未知
分类: 🌊港台频道, 名称: 凤凰中文, 总数: 34, 有效率: 0.00%, 有效: 0, IPv4: 34, IPv6: 0, 最小延迟: 44 ms, 最高速率: 3.04 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 840x480, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: aac
分类: 🌊港台频道, 名称: 凤凰香港, 总数: 11, 有效率: 9.09%, 有效: 1, IPv4: 11, IPv6: 0, 最小延迟: 32 ms, 最高速率: 3.90 MiB/s, 平均速率: 3.10 MiB/s, 最高分辨率: 1280x720, 平均帧率: 27.5, 视频编解码器: h264, 音频编解码器: aac
分类: 🌊港台频道, 名称: TVBS亚洲, 总数: 9, 有效率: 55.56%, 有效: 5, IPv4: 9, IPv6: 0, 最小延迟: 43 ms, 最高速率: 1.79 MiB/s, 平均速率: 1.12 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 29.97, 视频编解码器: h264, 音频编解码器: aac
分类: 🌊港台频道, 名称: 无线新闻, 总数: 7, 有效率: 14.29%, 有效: 1, IPv4: 7, IPv6: 0, 最小延迟: 44 ms, 最高速率: 4.80 MiB/s, 平均速率: 4.80 MiB/s, 最高分辨率: 1280x720, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: aac
分类: 🌊港台频道, 名称: CHC家庭影院, 总数: 61, 有效率: 11.48%, 有效: 7, IPv4: 61, IPv6: 0, 最小延迟: 22 ms, 最高速率: 17.19 MiB/s, 平均速率: 6.82 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 🌊港台频道, 名称: CHC动作电影, 总数: 57, 有效率: 12.28%, 有效: 7, IPv4: 57, IPv6: 0, 最小延迟: 21 ms, 最高速率: 31.10 MiB/s, 平均速率: 11.45 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 🌊港台频道, 名称: 靖天映画, 总数: 2, 有效率: 0.00%, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌊港台频道, 名称: 天映经典, 总数: 1, 有效率: 0.00%, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌊港台频道, 名称: 龙祥电影, 总数: 1, 有效率: 0.00%, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌊港台频道, 名称: 东森超视, 总数: 9, 有效率: 11.11%, 有效: 1, IPv4: 9, IPv6: 0, 最小延迟: 68 ms, 最高速率: 1.23 MiB/s, 平均速率: 1.23 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 29.97, 视频编解码器: h264, 音频编解码器: aac
分类: 🌊港台频道, 名称: 东森洋片, 总数: 4, 有效率: 50.00%, 有效: 2, IPv4: 4, IPv6: 0, 最小延迟: 745 ms, 最高速率: 1.48 MiB/s, 平均速率: 1.09 MiB/s, 最高分辨率: 1280x720, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: aac
